,Title,Developer(s),Publisher(s),Japan,North_America,PAL_region,Ref.,Realese_JP,Realese_North_America,Realese_PAL_region,Year_JP,Month_JP,Year_North_America,Month_North_America,Year_PAL,Month_PAL
379,FIFA 97: Gold Edition,Electronic Arts,EA Sports,Unreleased,"September 6, 1996",1996,,,1996-09-06,1996-01-01,,,1996,9,1996,1
380,FIFA: Road to World Cup 98,Electronic Arts,EA Sports,Unreleased,Unreleased,"September 3, 1997",,,,1997-09-03,,,,,1997,9
381,Fighter's History †,Data East,Data East,"May 27, 1994","August 1, 1994",Unreleased,,1994-05-27,1994-08-01,,1994,5,1994,8,,
382,Fighter's History: Mizoguchi Kiki Ippatsu!!,Data East,Data East,"February 17, 1995",Unreleased,Unreleased,,1995-02-17,,,1995,2,,,,
383,Final Fantasy II•Final Fantasy IVJP,Square,Square,"July 19, 1991","November 23, 1991",Unreleased,,1991-07-19,1991-11-23,,1991,7,1991,11,,
384,Final Fantasy III•Final Fantasy VIJP,Square,Square,"April 2, 1994","October 11, 1994",Unreleased,,1994-04-02,1994-10-11,,1994,4,1994,10,,
385,Final Fantasy V,Square,Square,"December 6, 1992",Unreleased,Unreleased,,1992-12-06,,,1992,12,,,,
386,Final Fantasy Mystic Quest•Mystic Quest LegendEU•Final Fantasy USA: Mystic QuestJP,Square,Square,"September 10, 1993","October 5, 1992",October 1993,,1993-09-10,1992-10-05,1993-10-01,1993,9,1992,10,1993,10
387,Final Fight †,Capcom,Capcom,"December 21, 1990","November 10, 1991","December 10, 1992",,1990-12-21,1991-11-10,1992-12-10,1990,12,1991,11,1992,12
388,Final Fight 2,Capcom,Capcom,"May 22, 1993","August 15, 1993",December 1993,,1993-05-22,1993-08-15,1993-12-01,1993,5,1993,8,1993,12
389,Final Fight 3•Final Fight ToughJP,Capcom,Capcom,"December 22, 1995","December 21, 1995","March 13, 1996",,1995-12-22,1995-12-21,1996-03-13,1995,12,1995,12,1996,3
390,Final Fight Guy,Capcom,Capcom,"March 20, 1992","June 1, 1994",Unreleased,,1992-03-20,1994-06-01,,1992,3,1994,6,,
391,Final Set Tennis,Human Entertainment,Human Entertainment,"August 12, 1994",Unreleased,Unreleased,,1994-08-12,,,1994,8,,,,
392,Final Stretch,Genki,LOZC G. Amusements,"November 12, 1993",Unreleased,Unreleased,,1993-11-12,,,1993,11,,,,
393,Fire Emblem: Monshou no Nazo,Intelligent Systems,Nintendo,"January 21, 1994",Unreleased,Unreleased,,1994-01-21,,,1994,1,,,,
394,Fire Emblem: Seisen no Keifu,Intelligent Systems,Nintendo,"May 14, 1996",Unreleased,Unreleased,,1996-05-14,,,1996,5,,,,
395,Fire Emblem: Thracia 776,Intelligent Systems,Nintendo,"September 1, 1999",Unreleased,Unreleased,,1999-09-01,,,1999,9,,,,
396,Fire Pro Joshi: All Star Dream Slam,,Human Entertainment,"July 22, 1994",Unreleased,Unreleased,,1994-07-22,,,1994,7,,,,
397,The Firemen,Human Entertainment,Human Entertainment,"September 9, 1994",Unreleased,March 1995,,1994-09-09,,1995-03-01,1994,9,,,1995,3
398,Firepower 2000•Super SWIVEU,Sales Curve Interactive,Sunsoft,"November 13, 1992","November 13, 1992",August 1993,,1992-11-13,1992-11-13,1993-08-01,1992,11,1992,11,1993,8
399,Firestriker•Holy StrikerJP,Axes Art Amuse,DTMC,"December 17, 1993","October 20, 1994",Unreleased,,1993-12-17,1994-10-20,,1993,12,1994,10,,
400,First Samurai,Kemco,Kemco,"July 2, 1993","July 2, 1993",1993,,1993-07-02,1993-07-02,1993-01-01,1993,7,1993,7,1993,1
401,First Queen,,Culture Brain,"March 11, 1994",Cancelled,Unreleased,,1994-03-11,,,1994,3,,,,
402,Fishing Koushien,A-Wave,King Records,"May 31, 1996",Unreleased,Unreleased,,1996-05-31,,,1996,5,,,,
403,Flashback: The Quest for Identity•FlashbackEU,Delphine Software International,U.S. Gold,"December 22, 1993","February 1, 1994",1994,,1993-12-22,1994-02-01,1994-01-01,1993,12,1994,2,1994,1
404,The Flintstones,Ocean Software,Ocean Software,Unreleased,"February 1, 1995",April 1995,,,1995-02-01,1995-04-01,,,1995,2,1995,4
405,The Flintstones: The Treasure of Sierra Madrock,Taito/Sol Corporation,Taito,"August 12, 1994","March 1, 1994","June 23, 1994",,1994-08-12,1994-03-01,1994-06-23,1994,8,1994,3,1994,6
406,Flying Hero: Bugyuru no Daibouken,Sting Entertainment,SOFEL,"December 18, 1992",Unreleased,Unreleased,,1992-12-18,,,1992,12,,,,
407,Football Fury•Ultimate FootballJP,American Sammy,American Sammy,"July 24, 1992","October 1, 1993",Unreleased,,1992-07-24,1993-10-01,,1992,7,1993,10,,
408,Foreman For Real,Software Creations,Acclaim Entertainment,"October 27, 1995","September 1, 1995","September 28, 1995",,1995-10-27,1995-09-01,1995-09-28,1995,10,1995,9,1995,9
409,Fortune Quest: Dice wo Korogase,Natsume,Zamuse,"April 28, 1994",Unreleased,Unreleased,,1994-04-28,,,1994,4,,,,
410,Frank Thomas' Big Hurt Baseball,Iguana Entertainment,Acclaim Entertainment,"December 1, 1995","November 1, 1995",1995,,1995-12-01,1995-11-01,1995-01-01,1995,12,1995,11,1995,1
411,Frantic Flea,Haus Teknikka,GameTek,Unreleased,"April 1, 1996",Unreleased,,,1996-04-01,,,,1996,4,,
412,Frogger,Morning Star Multimedia,Majesco Entertainment,Unreleased,"October 6, 1998",Unreleased,,,1998-10-06,,,,1998,10,,
413,From TV Animation Slam Dunk: Dream Team Shueisha Limited,Tose,Bandai,"June 20, 1994",Unreleased,Unreleased,,1994-06-20,,,1994,6,,,,
414,From TV Animation Slam Dunk: SD Heat Up!!,Tose,Bandai,"October 27, 1995",Unreleased,Unreleased,,1995-10-27,,,1995,10,,,,
415,From TV Animation Slam Dunk 2: IH Yosen Kanzenhan!!,Tose,Bandai,"February 24, 1995",Unreleased,Unreleased,,1995-02-24,,,1995,2,,,,
416,From TV Animation Slam Dunk: Yonkyo Taiketsu!!,Tose,Bandai,"March 26, 1994",Unreleased,Unreleased,,1994-03-26,,,1994,3,,,,
417,Front Mission,G-Craft,Square,"February 23, 1995",Unreleased,Unreleased,,1995-02-23,,,1995,2,,,,
418,Front Mission Series: Gun Hazard,Omiya Soft,Square,"February 23, 1996",Unreleased,Unreleased,,1996-02-23,,,1996,2,,,,
419,Full Throttle: All-American Racing•Full PowerJP,Gremlin Interactive,GameTek,"December 16, 1994","January 1, 1995",1994,,1994-12-16,1995-01-01,1994-01-01,1994,12,1995,1,1994,1
420,Fun 'n Games,Leland Interactive Media,Tradewest,Unreleased,"August 1, 1994","May 25, 1994",,,1994-08-01,1994-05-25,,,1994,8,1994,5
421,Funaki Masakatsu no Hybrid Wrestler: Tōgi Denshō,,Technōs Japan,"October 21, 1994",Unreleased,Unreleased,,1994-10-21,,,1994,10,,,,
422,Fune Tarou,,Victor Interactive Software,"August 1, 1997",Unreleased,Unreleased,,1997-08-01,,,1997,8,,,,
423,Furuta Atsuya no Simulation Pro Yakyuu 2,Hect,Hect,"August 24, 1996",Unreleased,Unreleased,,1996-08-24,,,1996,8,,,,
424,Fushigi no Dungeon 2: Furai no Shiren,Chun Soft,Chun Soft,"December 1, 1995",Unreleased,Unreleased,,1995-12-01,,,1995,12,,,,
425,G-O-D: Mezame yoto Yobu Koe ga Kikoe,Infinity,Imagineer,"December 20, 1996",Unreleased,Unreleased,,1996-12-20,,,1996,12,,,,
426,Gaia Saver,Arc System Works,Banpresto,"January 28, 1994",Unreleased,Unreleased,,1994-01-28,,,1994,1,,,,
427,Gakkou de atta Kowai Hanashi,Pandora Box,Banpresto,"August 4, 1995",Unreleased,Unreleased,,1995-08-04,,,1995,8,,,,
428,Galaxy Robo,Copya Systems,Imagineer,"March 11, 1994",Unreleased,Unreleased,,1994-03-11,,,1994,3,,,,
429,Galaxy Wars,C-Lab,Imagineer,"January 13, 1995",Unreleased,Unreleased,,1995-01-13,,,1995,1,,,,
430,Gambler Jikochuushinha: Mahjong Kouisen,Bits Laboratory,Palsoft,"September 25, 1992",Unreleased,Unreleased,,1992-09-25,,,1992,9,,,,
431,Gambler Jikochuushinha 2: Dorapon Quest,Bits Laboratory,Pack-In-Video,"March 18, 1994",Unreleased,Unreleased,,1994-03-18,,,1994,3,,,,
432,Gambling Hourouki,,VAP,"March 22, 1996",Unreleased,Unreleased,,1996-03-22,,,1996,3,,,,
433,Game no Tatsujin,Affect,Sunsoft,"August 11, 1995",Unreleased,Unreleased,,1995-08-11,,,1995,8,,,,
434,Game no Tetsujin: The Shanghai,,Sunsoft,"October 13, 1995",Unreleased,Unreleased,,1995-10-13,,,1995,10,,,,
435,Gamera: Gyaosu Gekimetsu Sakusen,Axes Art Amuse,Sammy Corporation,"June 30, 1995",Unreleased,Unreleased,,1995-06-30,,,1995,6,,,,
436,Gan Gan Ganchan,Team Mental Care,Magifact,"October 27, 1995",Unreleased,Unreleased,,1995-10-27,,,1995,10,,,,
437,Ganbare Daiku no Gensan,Irem,Irem,"December 22, 1993",Cancelled,Unreleased,,1993-12-22,,,1993,12,,,,
438,Ganbare Goemon 2: Kiteretsu Shougun McGuiness,Konami,Konami,"December 22, 1993",Unreleased,Unreleased,,1993-12-22,,,1993,12,,,,
439,Ganbare Goemon 3: Shishi Juurokubee no Karakuri Manjigatame,Konami,Konami,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
440,Ganbare Goemon Kirakira Dōchū: Boku ga Dancer ni Natta Wake,Konami,Konami,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
441,Ganpuru: Gunman's Proof,Lenar,ASCII Entertainment,"January 31, 1997",Unreleased,Unreleased,,1997-01-31,,,1997,1,,,,
442,Ganso Pachi-Slot Nippon'ichi,,Coconuts Japan,"November 25, 1994",Unreleased,Unreleased,,1994-11-25,,,1994,11,,,,
443,Ganso Pachinko Ou,,Coconuts Japan,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
444,Garry Kitchen's Super Battletank: War in the Gulf•Super BattletankEU,Imagineering,Absolute Entertainment,"April 23, 1993","June 1, 1992","March 18, 1993",,1993-04-23,1992-06-01,1993-03-18,1993,4,1992,6,1993,3
445,Gdleen,Jorudan,SETA,"May 28, 1991",Cancelled,Unreleased,,1991-05-28,,,1991,5,,,,
446,Gegege no Kitarou: Fukkatsu! Tenma Daiou,BEC,Bandai,"February 5, 1993",Cancelled,Unreleased,,1993-02-05,,,1993,2,,,,
447,Gegege no Kitarou: Youkai Donjaara,Tom Create,Bandai,"July 19, 1996",Unreleased,Unreleased,,1996-07-19,,,1996,7,,,,
448,Gekisou Sentai Carranger: Zenkai! Racer Senshi,Natsume,Bandai,"August 23, 1996",Unreleased,Unreleased,,1996-08-23,,,1996,8,,,,
449,Gekitotsu Dangan Jidōsha Kessen: Battle Mobile,System Sacom,System Sacom,"June 25, 1993",Unreleased,Unreleased,,1993-06-25,,,1993,6,,,,
450,Gekitou Burning Pro Wrestling,Ukiyotei,Bullet-Proof Software,"October 6, 1995",Unreleased,Unreleased,,1995-10-06,,,1995,10,,,,
451,Gemfire•Super Royal BloodJP,Koei,Koei,"October 22, 1992","December 1, 1992",Unreleased,,1992-10-22,1992-12-01,,1992,10,1992,12,,
452,Genghis Khan II: Clan of the Gray Wolf•Super Aoki Ookami to Shiroki Meshika: Genchou HishiJP,Koei,Koei,"March 25, 1993","December 1, 1993",Unreleased,,1993-03-25,1993-12-01,,1993,3,1993,12,,
453,Genjuu Ryodan,Crea-Tech,Axela,"June 1, 1998",Unreleased,Unreleased,,1998-06-01,,,1998,6,,,,
454,Genocide 2,Bits Studios,Kemco,"August 5, 1994",Cancelled,Unreleased,,1994-08-05,,,1994,8,,,,
455,George Foreman's KO Boxing,Beam Software,Acclaim Entertainment,Unreleased,"September 1, 1992",Unreleased,,,1992-09-01,,,,1992,9,,
456,Getsumen no Anubis,Access,Imagineer,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
457,Ghost Chaser Densei,Winkysoft,Banpresto,"September 23, 1994",Unreleased,Unreleased,,1994-09-23,,,1994,9,,,,
458,Ghost Sweeper Mikami: Joreishi ha Nice Body,Natsume,Banalex,"September 23, 1993",Unreleased,Unreleased,,1993-09-23,,,1993,9,,,,
459,Ghoul Patrol,LucasArts,JVC Musical Industries,"May 26, 1995","November 1, 1994",1994,,1995-05-26,1994-11-01,1994-01-01,1995,5,1994,11,1994,1
460,Ginga Eiyuu Densetsu: Senjutsu Simulation,Advance Communication Company,Tokuma Shoten,"September 25, 1992",Unreleased,Unreleased,,1992-09-25,,,1992,9,,,,
461,Ginga Sengoku Gun'yūden Rai,Angel,Angel,"March 8, 1996",Unreleased,Unreleased,,1996-03-08,,,1996,3,,,,
462,Gintama Oyakata no Jissen Pachinko Hisshouhou,Sammy Corporation,Sammy Corporation,"February 17, 1995",Unreleased,Unreleased,,1995-02-17,,,1995,2,,,,
463,Gionbana,Nichibutsu,Nichibutsu,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
464,Go Go Ackman,Aspect,Banpresto,"December 23, 1994",Unreleased,Unreleased,,1994-12-23,,,1994,12,,,,
465,Go Go Ackman 2,Aspect,Banpresto,"July 21, 1995",Unreleased,Unreleased,,1995-07-21,,,1995,7,,,,
466,Go Go Ackman 3,Aspect,Banpresto,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
467,Go! Go! Dodge League,Now Production/Mebio Software,Pack-In-Video,"September 24, 1993",Unreleased,Unreleased,,1993-09-24,,,1993,9,,,,
468,Goal!•Super Goal!EU•Super Cup SoccerJP,Tose,Jaleco,"April 24, 1992","December 7, 1992",1992,,1992-04-24,1992-12-07,1992-01-01,1992,4,1992,12,1992,1
469,Gods,Bitmap Brothers,Mindscape,Unreleased,"December 31, 1992",1992,,,1992-12-31,1992-01-01,,,1992,12,1992,1
470,Godzilla: Kaijuu Daikessen•Godzilla: Destroy All MonstersNA,Alfa System,Toho,"December 9, 1994",Cancelled,Unreleased,,1994-12-09,,,1994,12,,,,
471,Gokinjo Boukentai,ITL,Pioneer LDC,"May 24, 1996",Unreleased,Unreleased,,1996-05-24,,,1996,5,,,,
472,Gokujo Parodius! ～Kako no Eiko o Motomete～,Konami,Konami,"November 25, 1994",Unreleased,Unreleased,,1994-11-25,,,1994,11,,,,
473,Gon,Tose,Bandai,"November 11, 1994",Unreleased,Unreleased,,1994-11-11,,,1994,11,,,,
474,Goof Troop•Goofy to Max: Kaizoku Shima no DaiboukenJP,Capcom,Capcom,"July 22, 1994","July 11, 1993","November 25, 1993",,1994-07-22,1993-07-11,1993-11-25,1994,7,1993,7,1993,11
475,GP-1,Atlus,Atlus,"June 25, 1993","September 29, 1993",1993,,1993-06-25,1993-09-29,1993-01-01,1993,6,1993,9,1993,1
476,GP-1: Part II•GP-1 Rapid StreamJP,Atlus,Atlus,"November 18, 1994","December 1, 1994",Unreleased,,1994-11-18,1994-12-01,,1994,11,1994,12,,
477,Gradius III,Konami,Konami,"December 21, 1990","August 23, 1991",Unreleased,,1990-12-21,1991-08-23,,1990,12,1991,8,,
478,Granhistoria: Genshi Sekaiki,J-Force,Banpresto,"June 30, 1995",Unreleased,Unreleased,,1995-06-30,,,1995,6,,,,
479,Gre2The Great Battle II: Last Fighter Twin,,Banpresto,"March 27, 1992",Unreleased,Unreleased,,1992-03-27,,,1992,3,,,,
480,The Great Battle III,Sun L,Banpresto,"March 26, 1993",Unreleased,Unreleased,,1993-03-26,,,1993,3,,,,
481,The Great Battle IV,Sun L,Banpresto,"December 17, 1994",Unreleased,Unreleased,,1994-12-17,,,1994,12,,,,
482,The Great Battle V,Sun L,Banpresto,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
483,GreGThe Great Battle Gaiden 2: Matsuri da Wasshoi,,Banpresto,"January 28, 1994",Unreleased,Unreleased,,1994-01-28,,,1994,1,,,,
484,The Great Circus Mystery Starring Mickey & Minnie•Mickey to Minnie: Magical Adventure 2JP,Capcom,Capcom,"November 11, 1994","October 16, 1994",April 1995,,1994-11-11,1994-10-16,1995-04-01,1994,11,1994,10,1995,4
485,The Great Waldo Search,Radiance Software,THQ,Unreleased,"June 1, 1993",Unreleased,,,1993-06-01,,,,1993,6,,
486,GT Racing,Imagineer,Imagineer,"March 29, 1996",Unreleased,Unreleased,,1996-03-29,,,1996,3,,,,
487,GunForce,Bits Studios,Irem,"November 11, 1992","November 27, 1992",Unreleased,,1992-11-11,1992-11-27,,1992,11,1992,11,,
488,Gurume Sentai Barayarō,Winds,Virgin Interactive,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
489,Habu Meijin no Omoshiro Shougi,Access,Tomy,"March 31, 1995",Unreleased,Unreleased,,1995-03-31,,,1995,3,,,,
490,Hagane: The Final Conflict•HAGANEJP,Red Company,Hudson Soft,"November 18, 1994","June 1, 1995",1995,,1994-11-18,1995-06-01,1995-01-01,1994,11,1995,6,1995,1
491,Haisei Mahjong Ryouga,,ASCII,"April 28, 1995",Unreleased,Unreleased,,1995-04-28,,,1995,4,,,,
492,Hakunetsu Pro Yakyuu '93: Ganba League,Sting Entertainment,Epic/Sony Records,"December 11, 1992",Unreleased,Unreleased,,1992-12-11,,,1992,12,,,,
493,Hakunetsu Pro Yakyuu '94: Ganba League 3,,Epic/Sony Records,"December 10, 1993",Unreleased,Unreleased,,1993-12-10,,,1993,12,,,,
494,Hal's Hole in One Golf•Jumbo Ozaki no Hole In OneJP,HAL Laboratory,HAL Laboratory,"February 23, 1991","September 15, 1991","October 22, 1992",,1991-02-23,1991-09-15,1992-10-22,1991,2,1991,9,1992,10
495,Hamelin no Violin Tamaki,Daft,Enix,"September 28, 1995",Unreleased,Unreleased,,1995-09-28,,,1995,9,,,,
496,HammerLock Wrestling•Tenryuu Genichiro no Pro Wrestling RevolutionJP,Jaleco,Jaleco,"September 30, 1994","October 1, 1994",Unreleased,,1994-09-30,1994-10-01,,1994,9,1994,10,,
497,Hana no Keiji: Kumo no Kanata ni,Tose,Yojigen,"November 18, 1994",Unreleased,Unreleased,,1994-11-18,,,1994,11,,,,
498,Hanafuda,,Imagineer,"September 22, 1994",Unreleased,Unreleased,,1994-09-22,,,1994,9,,,,
499,Hanafuda Ou,Electronics Application,Coconuts Japan,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
500,"Hanjuku Hero: Aa, Sekaiyo Hanjukunare...!",Square,Square,"December 12, 1992",Unreleased,Unreleased,,1992-12-12,,,1992,12,,,,
501,Hanna Barbera's Turbo Toons,Empire Interactive,Entertainment International UK,Unreleased,Cancelled,"October 1, 1994",,,,1994-10-01,,,,,1994,10
502,Haō Taikei Ryū Knight,Japan Art Media,Bandai,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
503,Hardball III,Accolade,Accolade,Unreleased,"June 1, 1994",Unreleased,,,1994-06-01,,,,1994,6,,
504,Harley's Humongous Adventure•Kagakusha Harley no Haran BanjouJP,Visual Concepts,Altron (JP)Hi Tech Expressions (NA/EU),"October 28, 1994","February 1, 1993",1993,,1994-10-28,1993-02-01,1993-01-01,1994,10,1993,2,1993,1
505,Harukanaru Augusta,T&E Soft,T&E Soft,"April 5, 1991",Unreleased,Unreleased,,1991-04-05,,,1991,4,,,,
506,Harukanaru Augusta 2: Masters,T&E Soft,T&E Soft,"September 22, 1993",Unreleased,Unreleased,,1993-09-22,,,1993,9,,,,
507,Harukanaru Augusta 3: Masters New,T&E Soft,T&E Soft,"December 8, 1995",Unreleased,Unreleased,,1995-12-08,,,1995,12,,,,
508,Harvest Moon•Bokujou MonogatariJP,Pack-In-Video,Pack-In-Video (JP)Natsume (NA)Nintendo (EU),"August 9, 1996","June 25, 1997","January 29, 1998",,1996-08-09,1997-06-25,1998-01-29,1996,8,1997,6,1998,1
509,Hashire Hebereke,Sunsoft,Sunsoft,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
510,Hat Trick Hero 2,Neverland,Taito,"July 29, 1994",Cancelled,Unreleased,,1994-07-29,,,1994,7,,,,
511,Hatayama Hatch no Pro Yakyuu News! Jitsumei Han,Agenda,Epoch Co.,"October 29, 1993",Unreleased,Unreleased,,1993-10-29,,,1993,10,,,,
512,Hayashi Kaihou Kudan no Igo Oodou,,ASK,"March 22, 1996",Unreleased,Unreleased,,1996-03-22,,,1996,3,,,,
513,Hayazashi Nidan Morita Shogi,Random House,SETA,"June 18, 1993",Unreleased,Unreleased,,1993-06-18,,,1993,6,,,,
514,Hayazashi Nidan Morita Shogi 2,Random House,SETA,"May 26, 1995",Unreleased,Unreleased,,1995-05-26,,,1995,5,,,,
515,Hebereke no Oishii Puzzle: ha Irimasen ka,,Sunsoft,"August 31, 1994",Unreleased,Unreleased,,1994-08-31,,,1994,8,,,,
516,Hebereke's Popoitto•Popoitto HeberekeJP,Sunsoft,Sunsoft,"July 28, 1995",Unreleased,"September 30, 1995",,1995-07-28,,1995-09-30,1995,7,,,1995,9
517,Hebereke's Popoon,Sunsoft,Sunsoft,"December 22, 1993",Unreleased,"February 22, 1994",,1993-12-22,,1994-02-22,1993,12,,,1994,2
518,Heian Fuuunden,Natsume,KSS,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
519,Heisei Gunjin Shougi,,Carrozzeria,"January 26, 1996",Unreleased,Unreleased,,1996-01-26,,,1996,1,,,,
520,Heisei Inu Monogatari Bow: Pop'n Smash!!,,Takara,"April 28, 1994",Unreleased,Unreleased,,1994-04-28,,,1994,4,,,,
521,Heisei Shin Oni Ga Shima (Part 1),,Nintendo,"May 23, 1998",Unreleased,Unreleased,,1998-05-23,,,1998,5,,,,
522,Heisei Shin Oni Ga Shima (Part 2),,Nintendo,"May 23, 1998",Unreleased,Unreleased,,1998-05-23,,,1998,5,,,,
523,Heiwa Pachinko World,Office Koukan,Shouei,"February 24, 1995",Unreleased,Unreleased,,1995-02-24,,,1995,2,,,,
524,Heiwa Pachinko World 2,,Shouei,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
525,Heiwa Pachinko World 3,,Shouei,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
526,Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game,,Nippon Telenet,"January 30, 1998",Unreleased,Unreleased,,1998-01-30,,,1998,1,,,,
527,Hercules no Eikou III,Data East,Data East,"April 24, 1992",Unreleased,Unreleased,,1992-04-24,,,1992,4,,,,
528,Hercules no Eikou IV,Data East,Data East,"October 21, 1994",Unreleased,Unreleased,,1994-10-21,,,1994,10,,,,
529,Hero Senki: Project Olympus,Winkysoft,Banpresto,"November 20, 1992",Unreleased,Unreleased,,1992-11-20,,,1992,11,,,,
530,Higashio Osamu Kanshuu Super Pro Yakyuu Stadium,C-Lab,Tokuma Shoten,"September 30, 1993",Unreleased,Unreleased,,1993-09-30,,,1993,9,,,,
531,Hiouden: Mamono-tachi tono Chikai,Wolf Team,Wolf Team,"February 11, 1994",Unreleased,Unreleased,,1994-02-11,,,1994,2,,,,
532,Hiryuu no Ken S: Hyper Version,Culture Brain,Culture Brain,"December 11, 1992",Unreleased,Unreleased,,1992-12-11,,,1992,12,,,,
533,Hissatsu Pachinko Collection,,Sunsoft,"October 21, 1994",Unreleased,Unreleased,,1994-10-21,,,1994,10,,,,
534,Hissatsu Pachinko Collection 2,,Sunsoft,"March 24, 1995",Unreleased,Unreleased,,1995-03-24,,,1995,3,,,,
535,Hissatsu Pachinko Collection 3,,Sunsoft,"November 2, 1995",Unreleased,Unreleased,,1995-11-02,,,1995,11,,,,
536,Hissatsu Pachinko Collection 4,,Sunsoft,"August 30, 1996",Unreleased,Unreleased,,1996-08-30,,,1996,8,,,,
537,Hisshou 777 Fighter: Pachi-Slot Ryuuguu Densetsu,Jorudan,VAP,"January 14, 1994",Unreleased,Unreleased,,1994-01-14,,,1994,1,,,,
538,Hisshou 777 Fighter II: Pachi-Slot Maruhi Jouhou,Jorudan,VAP,"August 19, 1994",Unreleased,Unreleased,,1994-08-19,,,1994,8,,,,
539,Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu,Jorudan,VAP,"September 15, 1995",Unreleased,Unreleased,,1995-09-15,,,1995,9,,,,
540,Hisshou Pachi-Slot Fun,,Pow,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
541,Hit the Ice,Taito,Taito,Unreleased,"February 1, 1993",Unreleased,,,1993-02-01,,,,1993,2,,
542,Hokuto no Ken 5,Shouei,Toei Animation,"July 10, 1992",Unreleased,Unreleased,,1992-07-10,,,1992,7,,,,
543,Hokuto no Ken 6,Shouei,Toei Animation,"November 20, 1992",Unreleased,Unreleased,,1992-11-20,,,1992,11,,,,
544,Hokuto no Ken 7,Shouei,Toei Animation,"December 24, 1993",Unreleased,Unreleased,,1993-12-24,,,1993,12,,,,
545,Holy Umbrella: Dondera no Mubo,Earthly Soft,Naxat Soft,"September 25, 1995",Unreleased,Unreleased,,1995-09-25,,,1995,9,,,,
546,Home Alone,Imagineering,THQ,"August 11, 1992","December 30, 1991",1992,,1992-08-11,1991-12-30,1992-01-01,1992,8,1991,12,1992,1
547,Home Alone 2: Lost in New York,Imagineering,THQ,Unreleased,"October 1, 1992","January 1, 1993",,,1992-10-01,1993-01-01,,,1992,10,1993,1
548,Home Improvement: Power Tool Pursuit!,Imagineering,Absolute Entertainment,Unreleased,"November 1, 1994",Unreleased,,,1994-11-01,,,,1994,11,,
549,Honkaku Mahjong: Tetsuman,Syscom,Naxat Soft,"September 24, 1993",Unreleased,Unreleased,,1993-09-24,,,1993,9,,,,
550,Honkaku Mahjong: Tetsuman II,Khaos,Naxat Soft,"October 21, 1994",Unreleased,Unreleased,,1994-10-21,,,1994,10,,,,
551,Honkaku Shougi: Fuuunji Ryuuou,Aisystem Tokyo,Virgin Interactive,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
552,Honkakuha Igo: Gosei,Aisystem Tokyo,Taito,"October 28, 1994",Unreleased,Unreleased,,1994-10-28,,,1994,10,,,,
553,Honke Sankyo Fever: Jikkyou Simulation,Vistec,Den'Z,"June 10, 1995",Unreleased,Unreleased,,1995-06-10,,,1995,6,,,,
554,Honke Sankyo Fever: Jikkyou Simulation 2,Vistec,Boss Communications,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
555,Honke Sankyo Fever: Jikkyou Simulation 3,Vistec,Boss Communications,"August 30, 1996",Unreleased,Unreleased,,1996-08-30,,,1996,8,,,,
556,Honoo no Doukyuuji: Dodge Danpei,,Sunsoft,"July 31, 1992",Unreleased,Unreleased,,1992-07-31,,,1992,7,,,,
557,Hook,Ukiyotei,Sony Imagesoft,"July 17, 1992","October 13, 1992",1992,,1992-07-17,1992-10-13,1992-01-01,1992,7,1992,10,1992,1
558,Horai Gakuen no Bouken!,Dynamite,J-Wing,"April 19, 1996",Unreleased,Unreleased,,1996-04-19,,,1996,4,,,,
559,Houkago in Beppin Jogakuin,Access,Imagineer,"February 3, 1995",Unreleased,Unreleased,,1995-02-03,,,1995,2,,,,
560,Human Baseball,Human Entertainment,Human Entertainment,"August 6, 1993",Unreleased,Unreleased,,1993-08-06,,,1993,8,,,,
561,Human Grand Prix III: F1 Triple Battle,Human Entertainment,Human Entertainment,"September 30, 1994",Unreleased,Unreleased,,1994-09-30,,,1994,9,,,,
562,Human Grand Prix IV: F1 Dream Battle,Human Entertainment,Human Entertainment,"August 25, 1995",Unreleased,Unreleased,,1995-08-25,,,1995,8,,,,
